,Cases_Cumulative,Deaths,Date,Deaths_Cumulative,ConfirmedCases,Country/Region,Time_since_1_cases,Time_since_30_cases,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Latest_Population_total,5_year_percent_change_Population_total,Latest_GDP (current US$),5_year_percent_change_GDP (current US$),Latest_GDP growth (annual %),5_year_percent_change_GDP growth (annual %),Latest_Population_total,5_year_percent_change_Population_total,Latest_Population_male (% of total population),5_year_percent_change_Population_male (% of total population),Latest_Population ages 65 and above_total,5_year_percent_change_Population ages 65 and above_total,Latest_School enrollment_primary (% gross),5_year_percent_change_School enrollment_primary (% gross),Latest_Life expectancy at birth_total (years),5_year_percent_change_Life expectancy at birth_total (years),Latest_Population_male,5_year_percent_change_Population_male,Latest_Population ages 65 and above (% of total population),5_year_percent_change_Population ages 65 and above (% of total population)
0,0,0,2020-01-22,0,0,Morocco,0.0,0.0,,,,,,,36029138.0,6.8616267208270045,117921394402.361,10.386779339547058,2.9902141695292204,-34.06980168461865,36029138.0,6.8616267208270045,49.59615270871821,0.31676093780520775,2526689.0,20.84564098639781,113.87658,3.2384184646749534,76.453,1.6297340050779627,17869066.0,7.200121231856765,7.0129048211122,13.086081684780046
1,0,0,2020-01-23,0,0,Morocco,0.0,0.0,,,,,,,36029138.0,6.8616267208270045,117921394402.361,10.386779339547058,2.9902141695292204,-34.06980168461865,36029138.0,6.8616267208270045,49.59615270871821,0.31676093780520775,2526689.0,20.84564098639781,113.87658,3.2384184646749534,76.453,1.6297340050779627,17869066.0,7.200121231856765,7.0129048211122,13.086081684780046
2,0,0,2020-01-24,0,0,Morocco,0.0,0.0,,,,,,,36029138.0,6.8616267208270045,117921394402.361,10.386779339547058,2.9902141695292204,-34.06980168461865,36029138.0,6.8616267208270045,49.59615270871821,0.31676093780520775,2526689.0,20.84564098639781,113.87658,3.2384184646749534,76.453,1.6297340050779627,17869066.0,7.200121231856765,7.0129048211122,13.086081684780046
3,0,0,2020-01-25,0,0,Morocco,0.0,0.0,,,,,,,36029138.0,6.8616267208270045,117921394402.361,10.386779339547058,2.9902141695292204,-34.06980168461865,36029138.0,6.8616267208270045,49.59615270871821,0.31676093780520775,2526689.0,20.84564098639781,113.87658,3.2384184646749534,76.453,1.6297340050779627,17869066.0,7.200121231856765,7.0129048211122,13.086081684780046
4,0,0,2020-01-26,0,0,Morocco,0.0,0.0,,,,,,,36029138.0,6.8616267208270045,117921394402.361,10.386779339547058,2.9902141695292204,-34.06980168461865,36029138.0,6.8616267208270045,49.59615270871821,0.31676093780520775,2526689.0,20.84564098639781,113.87658,3.2384184646749534,76.453,1.6297340050779627,17869066.0,7.200121231856765,7.0129048211122,13.086081684780046
5,0,0,2020-01-27,0,0,Morocco,0.0,0.0,,,,,,,36029138.0,6.8616267208270045,117921394402.361,10.386779339547058,2.9902141695292204,-34.06980168461865,36029138.0,6.8616267208270045,49.59615270871821,0.31676093780520775,2526689.0,20.84564098639781,113.87658,3.2384184646749534,76.453,1.6297340050779627,17869066.0,7.200121231856765,7.0129048211122,13.086081684780046
6,0,0,2020-01-28,0,0,Morocco,0.0,0.0,,,,,,,36029138.0,6.8616267208270045,117921394402.361,10.386779339547058,2.9902141695292204,-34.06980168461865,36029138.0,6.8616267208270045,49.59615270871821,0.31676093780520775,2526689.0,20.84564098639781,113.87658,3.2384184646749534,76.453,1.6297340050779627,17869066.0,7.200121231856765,7.0129048211122,13.086081684780046
7,0,0,2020-01-29,0,0,Morocco,0.0,0.0,,,,,,,36029138.0,6.8616267208270045,117921394402.361,10.386779339547058,2.9902141695292204,-34.06980168461865,36029138.0,6.8616267208270045,49.59615270871821,0.31676093780520775,2526689.0,20.84564098639781,113.87658,3.2384184646749534,76.453,1.6297340050779627,17869066.0,7.200121231856765,7.0129048211122,13.086081684780046
8,0,0,2020-01-30,0,0,Morocco,0.0,0.0,,,,,,,36029138.0,6.8616267208270045,117921394402.361,10.386779339547058,2.9902141695292204,-34.06980168461865,36029138.0,6.8616267208270045,49.59615270871821,0.31676093780520775,2526689.0,20.84564098639781,113.87658,3.2384184646749534,76.453,1.6297340050779627,17869066.0,7.200121231856765,7.0129048211122,13.086081684780046
9,0,0,2020-01-31,0,0,Morocco,0.0,0.0,,,,,,,36029138.0,6.8616267208270045,117921394402.361,10.386779339547058,2.9902141695292204,-34.06980168461865,36029138.0,6.8616267208270045,49.59615270871821,0.31676093780520775,2526689.0,20.84564098639781,113.87658,3.2384184646749534,76.453,1.6297340050779627,17869066.0,7.200121231856765,7.0129048211122,13.086081684780046
10,0,0,2020-02-01,0,0,Morocco,0.0,0.0,,,,,,,36029138.0,6.8616267208270045,117921394402.361,10.386779339547058,2.9902141695292204,-34.06980168461865,36029138.0,6.8616267208270045,49.59615270871821,0.31676093780520775,2526689.0,20.84564098639781,113.87658,3.2384184646749534,76.453,1.6297340050779627,17869066.0,7.200121231856765,7.0129048211122,13.086081684780046
11,0,0,2020-02-02,0,0,Morocco,0.0,0.0,,,,,,,36029138.0,6.8616267208270045,117921394402.361,10.386779339547058,2.9902141695292204,-34.06980168461865,36029138.0,6.8616267208270045,49.59615270871821,0.31676093780520775,2526689.0,20.84564098639781,113.87658,3.2384184646749534,76.453,1.6297340050779627,17869066.0,7.200121231856765,7.0129048211122,13.086081684780046
