2019-01-01,New Year's Day
2019-05-01,
2019-05-27,Memorial Day
2019-06-12,
2019-10-01,
2019-12-25,Christmas Day
2019-12-26,
2020-01-01,New Year's Day
2020-05-01,
2020-05-27,
2020-06-12,
2020-10-01,
2020-12-25,Christmas Day
2020-12-26,
2021-01-01,New Year's Day
2021-05-01,
2021-05-27,
2021-06-12,
2021-10-01,
2021-12-25,Christmas Day
2021-12-26,
2019-01-11,
2019-07-30,
2019-08-14,
2019-08-20,
2019-08-21,
2019-11-06,
2019-11-18,
2020-01-11,
2020-07-30,
2020-08-14,
2020-08-20,
2020-08-21,
2020-11-06,
2020-11-18,
2021-01-11,
2021-07-30,
2021-08-14,
2021-08-20,
2021-08-21,
2021-11-06,
2021-11-18,
2019-01-21,Martin Luther King Jr. Day
2019-02-18,Washington's Birthday
2019-07-04,Independence Day
2019-09-02,Labor Day
2019-10-14,Columbus Day
2019-11-11,Veterans Day
2019-11-28,Thanksgiving
2020-01-20,Martin Luther King Jr. Day
2020-02-17,Washington's Birthday
2020-05-25,Memorial Day
2020-07-04,Independence Day
2020-07-03,Independence Day (Observed)
2020-09-07,Labor Day
2020-10-12,Columbus Day
2020-11-11,Veterans Day
2020-11-26,Thanksgiving
2021-12-31,New Year's Day (Observed)
2021-01-18,Martin Luther King Jr. Day
2021-02-15,Washington's Birthday
2021-05-31,Memorial Day
2021-07-04,Independence Day
2021-07-05,Independence Day (Observed)
2021-09-06,Labor Day
2021-10-11,Columbus Day
2021-11-11,Veterans Day
2021-11-25,Thanksgiving
2021-12-24,Christmas Day (Observed)
