,date,day,item_name,package_id_unique,min_package_id,max_package_id,campaign_unique,min_campaign,max_campaign,qty_min,qty_mean,qty_max,qty_stdev,qty_unique,qty_sum,unit_price_min,unit_price_mean,unit_price_max,unit_price_stdev,unit_price_unique,unit_price_sum,sale_amount_min,sale_amount_mean,sale_amount_max,sale_amount_stdev,sale_amount_unique,sale_amount_sum,metro_area,county_1,total_market_sales
23,2018-10-31,Wed,3 Musketeers,1,9000000757,9000000757,4,discount_type_215,discount_type_1,0.82,2.18583333333333,6.51,2.05713153481131,4,26.23,1.15,1.4675,1.88,0.332377797092406,5,17.61,1.5,2.9625,8.4,2.57683077018686,5,35.55,15327343.0,12720334.0,30654686.0
24,2018-10-31,Wed,Air Heads,1,9000000758,9000000758,4,discount_type_15,discount_type_1,0.51,1.5203125,6.51,1.00075611535446,10,48.65,1.35,1.7965625,2.36,0.238186825222719,14,57.49,1.2,2.7040625,11.26,1.74828738202885,15,86.53,15327343.0,12720334.0,30654686.0
25,2018-10-31,Wed,Milky Way,1,9000000766,9000000766,4,discount_type_3,discount_type_1,0.51,1.82068965517241,13.04,2.19374912459809,7,52.8,0.89,1.68793103448276,2.39,0.389022394786368,13,48.95,1.22,3.01655172413793,21.65,3.67023868030995,14,87.48,15327343.0,12720334.0,30654686.0
26,2018-10-31,Wed,Nestle Butterfinger,1,9000000764,9000000764,2,discount_type_215,discount_type_1,0.51,3.884,13.04,4.25432832227183,10,77.68,1.06,1.663,2.39,0.297553179678595,9,33.26,1.22,6.395,21.65,7.10598450529367,10,127.9,15327343.0,12720334.0,30654686.0
27,2018-10-31,Wed,Reeses Miniatures,1,A000005754,A000005754,2,discount_type_215,discount_type_1,0.5,2.854375,13.02,3.34361674189293,7,45.67,1.29,1.75375,2.43,0.249288988926511,7,28.06,0.9,4.578125,21.61,5.19852186523567,7,73.25,15327343.0,12720334.0,30654686.0
28,2018-10-31,Wed,Reeses Peanut Butter cup,1,9000000761,9000000761,2,discount_type_1,discount_type_1,1.63,2.18666666666667,3.3,0.835,2,19.68,1.59,1.63,1.71,0.0599999999999926,2,14.67,2.59,3.60666666666667,5.64,1.525,2,32.46,15327343.0,12720334.0,30654686.0
29,2018-10-31,Wed,Reeses pieces,1,9000000763,9000000763,2,discount_type_215,discount_type_1,0.51,1.885,3.28,0.920031463992858,5,37.7,1.59,1.7425,2.36,0.170999384424871,6,34.85,0.9,3.234,5.61,1.55657315921867,6,64.68,15327343.0,12720334.0,30654686.0
30,2018-10-31,Wed,Skittles original,1,9000000760,9000000760,2,discount_type_215,discount_type_1,1.63,1.966,3.3,0.703091585625783,3,19.66,1.59,1.716,2.1,0.208230641357129,3,17.16,2.59,3.37,5.64,1.24570372792963,3,33.7,15327343.0,12720334.0,30654686.0
31,2018-10-31,Wed,Snickers,1,9000000765,9000000765,2,discount_type_215,discount_type_1,0.47,1.42722222222222,3.29,0.705389383962175,9,25.69,1.35,1.96944444444444,2.6,0.407971628515027,13,35.45,1.21,2.64055555555556,6.05,1.23736661656554,10,47.53,15327343.0,12720334.0,30654686.0
32,2018-10-31,Wed,Starburst,1,9000000762,9000000762,2,discount_type_215,discount_type_1,0.51,2.48944444444444,6.56,1.80100779703124,6,44.81,1.39,1.71888888888889,2.39,0.291464635911337,7,30.94,1.22,4.00166666666667,10.82,2.77480523958837,7,72.03,15327343.0,12720334.0,30654686.0
33,2018-11-01,Thu,100 Grand,1,9000000759,9000000759,4,discount_type_204,discount_type_1,0.47,2.763,13.04,2.42619632772982,12,82.89,1.24,1.651,2.43,0.310265181350756,9,49.53,0.92,4.51933333333333,21.65,4.08103176046022,13,135.58,,,
34,2018-11-01,Thu,3 Musketeers,1,9000000757,9000000757,1,discount_type_1,discount_type_1,1.65,1.65,1.65,0.0,1,6.6,1.83,1.835,1.84,0.00577350269194081,2,7.34,3.02,3.03,3.04,0.0115470053838816,2,12.12,,,
35,2018-11-01,Thu,Air Heads,1,9000000758,9000000758,5,discount_type_2,discount_type_1,0.51,3.48885714285714,13.03,2.79457749245651,12,122.11,1.24,1.75571428571429,2.39,0.279382572557306,17,61.45,1.22,5.70171428571429,21.63,4.29162350036761,17,199.56,,,
36,2018-11-01,Thu,Milky Way,1,9000000766,9000000766,5,discount_type_15,discount_type_1,0.5,2.94909090909091,6.53,2.39011068591166,8,32.44,1.38,1.71818181818182,2.12,0.213720292991477,8,18.9,0.79,4.81909090909091,11.23,3.6141927301832,8,53.01,,,
37,2018-11-01,Thu,Nestle Butterfinger,1,9000000764,9000000764,4,discount_type_15,discount_type_1,0.82,1.95722222222222,3.28,0.747252265110262,6,35.23,1.24,1.52055555555556,2.1,0.338656032718646,6,27.37,1.72,2.93,4.99,1.15368973298716,6,52.74,,,
38,2018-11-01,Thu,Reeses Miniatures,1,A000005754,A000005754,3,discount_type_15,discount_type_1,0.51,2.29739130434783,13.04,2.80127765880841,8,52.84,0.9,1.59869565217391,2.36,0.432501228036366,8,36.77,1.2,3.2695652173913,21.65,4.17431156900139,9,75.2,,,
39,2018-11-01,Thu,Reeses Peanut Butter cup,1,9000000761,9000000761,2,discount_type_1,discount_type_215,1.63,1.77818181818182,3.26,0.491463491661757,2,19.56,1.24,1.32363636363636,1.86,0.187737728082167,3,14.56,2.02,2.43272727272727,6.06,1.20717928170666,3,26.76,,,
40,2018-11-01,Thu,Reeses pieces,1,9000000763,9000000763,4,discount_type_2,discount_type_1,0.83,2.99111111111111,13.03,3.15610498760901,6,53.84,1.24,1.52888888888889,2.07,0.308619104453999,6,27.52,1.72,4.51777777777778,19.41,4.78716120663392,6,81.32,,,
