,invoice,package_id,qty,unit_price,sale_amount,item_name,date,day,time,transaction,category,store_category,campaign,metro_area,county_1,total_market_sales
0,23137,A000006690,0.28,3.7,1.04,Reeses pieces,2019-05-21,Tue,14:35:00,Good,Retail,Type_A,discount_type_1,,,
1,23136,A000006815,0.47,2.33,1.1,Reeses pieces,2019-05-21,Tue,14:28:00,Good,Retail,Type_A,discount_type_2,,,
2,23135,A000006608,1.66,2.07,3.44,Snickers Crisper,2019-05-21,Tue,14:24:00,Good,Retail,Type_A,discount_type_1,,,
3,23134,A000006877,1.66,1.29,2.14,Mr Good Bar,2019-05-21,Tue,14:21:00,Good,Retail,Type_A,discount_type_3,,,
7,23134,A000006799,1.66,1.29,2.14,Skittles wildberry,2019-05-21,Tue,14:21:00,Good,Retail,Type_A,discount_type_3,,,
11,23134,A000006880,1.66,1.29,2.14,Swedish Fish,2019-05-21,Tue,14:21:00,Good,Retail,Type_A,discount_type_3,,,
15,23134,A000006879,1.67,1.29,2.15,Nerds,2019-05-21,Tue,14:21:00,Good,Retail,Type_A,discount_type_3,,,
19,23133,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-21,Tue,14:15:00,Good,Retail,Type_A,discount_type_1,,,
20,23131,A000006697,6.56,2.45,16.07,Reeses Miniatures,2019-05-21,Tue,14:04:00,Good,Retail,Type_A,discount_type_2,,,
21,23129,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-21,Tue,13:57:00,Good,Retail,Type_A,discount_type_1,,,
22,23128,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-21,Tue,13:55:00,Good,Retail,Type_A,discount_type_1,,,
23,23127,A000006823,0.28,3.7,1.04,Nestle Butterfinger,2019-05-21,Tue,13:54:00,Good,Retail,Type_A,discount_type_1,,,
26,23127,A000006816,0.28,3.7,1.04,Reeses Miniatures,2019-05-21,Tue,13:54:00,Good,Retail,Type_A,discount_type_1,,,
29,23127,A000006821,0.28,3.7,1.04,Reeses stuffed with pieces,2019-05-21,Tue,13:54:00,Good,Retail,Type_A,discount_type_1,,,
32,23126,A000006816,0.28,3.7,1.04,Reeses Miniatures,2019-05-21,Tue,13:51:00,Good,Retail,Type_A,discount_type_1,,,
34,23126,A000006697,0.94,3.07,2.89,Reeses Miniatures,2019-05-21,Tue,13:51:00,Good,Retail,Type_A,discount_type_1,,,
36,23125,A000006609,0.96,2.76,2.65,Nestle Butterfinger,2019-05-21,Tue,13:44:00,Good,Retail,Type_A,discount_type_2,,,
37,23124,A000006832,3.26,1.06,3.46,Reeses pieces,2019-05-21,Tue,13:40:00,Good,Retail,Type_A,discount_type_4,,,
38,23123,A000006843,1.63,0.53,0.86,M&Ms,2019-05-21,Tue,13:40:00,Good,Retail,Type_A,discount_type_1,,,
39,23121,A000006674,1.67,2.69,4.49,Haribo Sour Bears,2019-05-21,Tue,13:33:00,Good,Retail,Type_A,discount_type_2,,,
40,23119,A000006833,3.26,1.06,3.46,Haribo Sour Bears,2019-05-21,Tue,13:30:00,Good,Retail,Type_A,discount_type_5,,,
41,23118,A000006727,6.6,3.02,19.93,Air Heads,2019-05-21,Tue,13:26:00,Good,Retail,Type_A,discount_type_2,,,
43,23118,A000006880,4.93,4.42,21.79,Swedish Fish,2019-05-21,Tue,13:26:00,Good,Retail,Type_A,discount_type_2,,,
45,23117,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-21,Tue,12:45:00,Good,Retail,Type_A,discount_type_1,,,
46,23117,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-21,Tue,12:45:00,Good,Retail,Type_A,discount_type_5,,,
47,23117,A000006815,3.3,1.64,5.41,Reeses pieces,2019-05-21,Tue,12:45:00,Good,Retail,Type_A,discount_type_1,,,
48,23117,A000006815,3.3,1.64,5.41,Reeses pieces,2019-05-21,Tue,12:45:00,Good,Retail,Type_A,discount_type_5,,,
49,23116,A000006707,1.67,1.29,2.15,Milk Duds,2019-05-21,Tue,12:24:00,Good,Retail,Type_A,discount_type_6,,,
53,23116,A000006700,1.67,1.29,2.15,Hersheys Kisses,2019-05-21,Tue,12:24:00,Good,Retail,Type_A,discount_type_6,,,
57,23116,A000006880,1.67,1.29,2.15,Swedish Fish,2019-05-21,Tue,12:24:00,Good,Retail,Type_A,discount_type_6,,,
61,23116,9000001037,1.65,1.29,2.13,Lifesavers big ring gummies,2019-05-21,Tue,12:24:00,Good,Retail,Type_A,discount_type_6,,,
65,23115,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-21,Tue,12:07:00,Good,Retail,Type_A,discount_type_1,,,
66,23113,A000006815,1.64,2.1,3.44,Reeses pieces,2019-05-21,Tue,11:37:00,Good,Retail,Type_A,discount_type_1,,,
67,23112,A000006843,1.63,1.06,1.73,M&Ms,2019-05-21,Tue,11:29:00,Good,Retail,Type_A,discount_type_4,,,
70,23112,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-21,Tue,11:29:00,Good,Retail,Type_A,discount_type_4,,,
76,23111,A000006878,1.67,5.06,8.45,Nestle Crunch,2019-05-21,Tue,11:26:00,Good,Retail,Type_A,discount_type_1,,,
77,23110,A000006801,1.63,1.27,2.07,Snickers Crisper,2019-05-21,Tue,11:24:00,Good,Retail,Type_A,discount_type_1,,,
81,23109,A000006704,0.5,2.42,1.21,Snickers,2019-05-21,Tue,11:22:00,Good,Retail,Type_A,discount_type_1,,,
82,23108,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-21,Tue,10:53:00,Good,Retail,Type_A,discount_type_1,,,
83,23107,A000006801,1.63,1.27,2.07,Snickers Crisper,2019-05-21,Tue,09:59:00,Good,Retail,Type_A,discount_type_1,,,
84,23106,A000006701,1.67,2.68,4.48,Skittles original,2019-05-21,Tue,09:49:00,Good,Retail,Type_A,discount_type_1,,,
85,23105,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-21,Tue,09:24:00,Good,Retail,Type_A,discount_type_1,,,
101,23103,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-21,Tue,09:01:00,Good,Retail,Type_A,discount_type_1,,,
105,23102,A000006815,6.53,1.4,9.14,Reeses pieces,2019-05-21,Tue,08:43:00,Good,Retail,Type_A,discount_type_7,,,
107,23102,A000006398,6.54,1.4,9.16,Peanut M&Ms,2019-05-21,Tue,08:43:00,Good,Retail,Type_A,discount_type_7,,,
109,23101,A000006679,1.63,1.06,1.73,Reeses Miniatures,2019-05-21,Tue,08:36:00,Good,Retail,Type_A,discount_type_1,,,
112,23101,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-21,Tue,08:36:00,Good,Retail,Type_A,discount_type_1,,,
115,23101,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-21,Tue,08:36:00,Good,Retail,Type_A,discount_type_1,,,
118,23100,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-21,Tue,08:35:00,Good,Retail,Type_A,discount_type_1,,,
122,23099,A000006833,3.26,1.06,3.46,Haribo Sour Bears,2019-05-21,Tue,08:34:00,Good,Retail,Type_A,discount_type_1,,,
125,23099,A000006832,6.51,1.06,6.9,Reeses pieces,2019-05-21,Tue,08:34:00,Good,Retail,Type_A,discount_type_1,,,
128,23099,A000006843,3.26,1.06,3.46,M&Ms,2019-05-21,Tue,08:34:00,Good,Retail,Type_A,discount_type_1,,,
131,23098,A000006815,6.53,1.4,9.14,Reeses pieces,2019-05-21,Tue,08:33:00,Good,Retail,Type_A,discount_type_8,,,
133,23098,A000006704,6.52,1.4,9.13,Snickers,2019-05-21,Tue,08:33:00,Good,Retail,Type_A,discount_type_8,,,
135,23097,A000006838,1.63,0.53,0.86,Starburst,2019-05-20,Mon,21:38:00,Good,Retail,Type_A,discount_type_1,,,
147,23097,A000006828,1.63,0.53,0.86,100 Grand,2019-05-20,Mon,21:38:00,Good,Retail,Type_A,discount_type_1,,,
151,23096,A000006816,0.28,3.33,0.93,Reeses Miniatures,2019-05-20,Mon,21:29:00,Good,Retail,Type_A,discount_type_2,,,
152,23094,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-20,Mon,20:40:00,Good,Retail,Type_A,discount_type_1,,,
153,23093,A000006689,0.28,3.33,0.93,Skittles wildberry,2019-05-20,Mon,20:32:00,Good,Retail,Type_A,discount_type_2,,,
154,23092,A000006821,0.28,3.7,1.04,Reeses stuffed with pieces,2019-05-20,Mon,20:29:00,Good,Retail,Type_A,discount_type_1,,,
156,23092,A000006655,0.28,3.7,1.04,Peanut butter M&Ms,2019-05-20,Mon,20:29:00,Good,Retail,Type_A,discount_type_1,,,
158,23091,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-20,Mon,20:11:00,Good,Retail,Type_A,discount_type_1,,,
161,23091,A000006704,1.64,2.09,3.43,Snickers,2019-05-20,Mon,20:11:00,Good,Retail,Type_A,discount_type_1,,,
164,23091,A000006689,0.28,3.7,1.04,Skittles wildberry,2019-05-20,Mon,20:11:00,Good,Retail,Type_A,discount_type_1,,,
167,23090,A000006690,0.28,3.7,1.04,Reeses pieces,2019-05-20,Mon,20:10:00,Good,Retail,Type_A,discount_type_1,,,
176,23089,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,20:04:00,Good,Retail,Type_A,discount_type_1,,,
177,23088,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-20,Mon,19:50:00,Good,Retail,Type_A,discount_type_1,,,
180,23088,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,19:50:00,Good,Retail,Type_A,discount_type_1,,,
183,23088,A000006689,0.28,3.7,1.04,Skittles wildberry,2019-05-20,Mon,19:50:00,Good,Retail,Type_A,discount_type_1,,,
186,23087,A000006655,0.28,3.7,1.04,Peanut butter M&Ms,2019-05-20,Mon,19:44:00,Good,Retail,Type_A,discount_type_1,,,
187,23086,A000006801,1.63,1.27,2.07,Snickers Crisper,2019-05-20,Mon,19:38:00,Good,Retail,Type_A,discount_type_1,,,
188,23085,A000006799,1.63,1.57,2.56,Skittles wildberry,2019-05-20,Mon,19:36:00,Good,Retail,Type_A,discount_type_6,,,
190,23085,A000006673,1.65,1.57,2.59,Baby Ruth,2019-05-20,Mon,19:36:00,Good,Retail,Type_A,discount_type_6,,,
192,23084,A000006821,0.28,3.33,0.93,Reeses stuffed with pieces,2019-05-20,Mon,19:26:00,Good,Retail,Type_A,discount_type_2,,,
193,23083,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-20,Mon,19:21:00,Good,Retail,Type_A,discount_type_1,,,
195,23083,A000006843,1.63,1.06,1.73,M&Ms,2019-05-20,Mon,19:21:00,Good,Retail,Type_A,discount_type_1,,,
197,23082,A000006843,1.63,1.06,1.73,M&Ms,2019-05-20,Mon,19:16:00,Good,Retail,Type_A,discount_type_1,,,
199,23082,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,19:16:00,Good,Retail,Type_A,discount_type_1,,,
201,23081,A000006398,1.65,1.88,3.1,Peanut M&Ms,2019-05-20,Mon,19:04:00,Good,Retail,Type_A,discount_type_5,,,
202,23080,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,18:59:00,Good,Retail,Type_A,discount_type_1,,,
266,23076,A000006655,0.28,3.33,0.93,Peanut butter M&Ms,2019-05-20,Mon,18:37:00,Good,Retail,Type_A,discount_type_1,,,
268,23076,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,18:37:00,Good,Retail,Type_A,discount_type_1,,,
270,23075,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-20,Mon,18:22:00,Good,Retail,Type_A,discount_type_1,,,
272,23075,A000006843,1.63,1.06,1.73,M&Ms,2019-05-20,Mon,18:22:00,Good,Retail,Type_A,discount_type_1,,,
274,23074,A000006878,1.64,4.61,7.56,Nestle Crunch,2019-05-20,Mon,18:19:00,Good,Retail,Type_A,discount_type_5,,,
275,23074,A000006878,1.64,4.61,7.56,Nestle Crunch,2019-05-20,Mon,18:19:00,Good,Retail,Type_A,discount_type_1,,,
276,23074,A000006823,0.28,0.15,0.04,Nestle Butterfinger,2019-05-20,Mon,18:19:00,Good,Retail,Type_A,discount_type_5,,,
277,23074,A000006823,0.28,0.15,0.04,Nestle Butterfinger,2019-05-20,Mon,18:19:00,Good,Retail,Type_A,discount_type_1,,,
278,23073,A000006816,0.28,3.7,1.04,Reeses Miniatures,2019-05-20,Mon,18:11:00,Good,Retail,Type_A,discount_type_1,,,
286,23073,A000006821,0.28,3.7,1.04,Reeses stuffed with pieces,2019-05-20,Mon,18:11:00,Good,Retail,Type_A,discount_type_1,,,
294,23073,9000001037,0.49,4.22,2.07,Lifesavers big ring gummies,2019-05-20,Mon,18:11:00,Good,Retail,Type_A,discount_type_1,,,
302,23073,9000000884,1.63,2.11,3.44,Sour Patch Kids,2019-05-20,Mon,18:11:00,Good,Retail,Type_A,discount_type_1,,,
310,23073,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-20,Mon,18:11:00,Good,Retail,Type_A,discount_type_1,,,
326,23073,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,18:11:00,Good,Retail,Type_A,discount_type_1,,,
342,23072,A000006821,0.28,3.7,1.04,Reeses stuffed with pieces,2019-05-20,Mon,18:02:00,Good,Retail,Type_A,discount_type_1,,,
348,23072,A000006689,0.28,3.7,1.04,Skittles wildberry,2019-05-20,Mon,18:02:00,Good,Retail,Type_A,discount_type_1,,,
351,23069,A000006520,1.65,4.07,6.72,Reeses stuffed with pieces,2019-05-20,Mon,17:43:00,Good,Retail,Type_A,discount_type_1,,,
352,23068,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,17:39:00,Good,Retail,Type_A,discount_type_1,,,
368,23067,A000006843,1.63,1.06,1.73,M&Ms,2019-05-20,Mon,17:33:00,Good,Retail,Type_A,discount_type_5,,,
372,23067,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-20,Mon,17:33:00,Good,Retail,Type_A,discount_type_5,,,
384,23064,A000006815,0.51,2.13,1.09,Reeses pieces,2019-05-20,Mon,16:40:00,Good,Retail,Type_A,discount_type_2,,,
385,23063,A000006801,1.63,1.27,2.07,Snickers Crisper,2019-05-20,Mon,16:38:00,Good,Retail,Type_A,discount_type_1,,,
389,23063,A000006801,1.63,1.27,2.07,Snickers Crisper,2019-05-20,Mon,16:38:00,Good,Retail,Type_A,discount_type_5,,,
405,23063,A000006704,6.51,1.54,10.03,Snickers,2019-05-20,Mon,16:38:00,Good,Retail,Type_A,discount_type_1,,,
409,23063,A000006704,6.51,1.54,10.03,Snickers,2019-05-20,Mon,16:38:00,Good,Retail,Type_A,discount_type_5,,,
410,23062,A000006843,1.63,1.06,1.73,M&Ms,2019-05-20,Mon,16:27:00,Good,Retail,Type_A,discount_type_1,,,
412,23062,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-20,Mon,16:27:00,Good,Retail,Type_A,discount_type_1,,,
414,23061,A000006878,0.79,1.58,1.25,Nestle Crunch,2019-05-20,Mon,16:19:00,Good,Retail,Type_A,discount_type_6,,,
416,23061,A000006879,0.84,1.59,1.34,Nerds,2019-05-20,Mon,16:19:00,Good,Retail,Type_A,discount_type_6,,,
418,23060,A000006815,0.48,2.24,1.08,Reeses pieces,2019-05-20,Mon,16:09:00,Good,Retail,Type_A,discount_type_2,,,
419,23059,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,15:54:00,Good,Retail,Type_A,discount_type_1,,,
420,23056,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,15:39:00,Good,Retail,Type_A,discount_type_1,,,
429,23055,A000006398,0.48,1.46,0.7,Peanut M&Ms,2019-05-20,Mon,15:38:00,Good,Retail,Type_A,discount_type_9,,,
430,23055,A000006398,0.48,1.46,0.7,Peanut M&Ms,2019-05-20,Mon,15:38:00,Good,Retail,Type_A,discount_type_10,,,
432,23055,A000006704,3.28,1.46,4.79,Snickers,2019-05-20,Mon,15:38:00,Good,Retail,Type_A,discount_type_9,,,
433,23055,A000006704,3.28,1.46,4.79,Snickers,2019-05-20,Mon,15:38:00,Good,Retail,Type_A,discount_type_10,,,
435,23055,A000006815,3.27,1.46,4.77,Reeses pieces,2019-05-20,Mon,15:38:00,Good,Retail,Type_A,discount_type_9,,,
436,23055,A000006815,3.27,1.46,4.77,Reeses pieces,2019-05-20,Mon,15:38:00,Good,Retail,Type_A,discount_type_10,,,
438,23054,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-20,Mon,15:30:00,Good,Retail,Type_A,discount_type_1,,,
440,23054,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,15:30:00,Good,Retail,Type_A,discount_type_1,,,
442,23053,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,15:25:00,Good,Retail,Type_A,discount_type_1,,,
446,23050,A000006843,1.63,1.06,1.73,M&Ms,2019-05-20,Mon,14:54:00,Good,Retail,Type_A,discount_type_1,,,
447,23049,A000006832,1.63,0.53,0.86,Reeses pieces,2019-05-20,Mon,14:54:00,Good,Retail,Type_A,discount_type_3,,,
451,23049,A000006832,1.63,0.53,0.86,Reeses pieces,2019-05-20,Mon,14:54:00,Good,Retail,Type_A,discount_type_1,,,
455,23049,A000006843,1.63,0.53,0.86,M&Ms,2019-05-20,Mon,14:54:00,Good,Retail,Type_A,discount_type_3,,,
459,23049,A000006843,1.63,0.53,0.86,M&Ms,2019-05-20,Mon,14:54:00,Good,Retail,Type_A,discount_type_1,,,
463,23049,A000006833,1.63,0.53,0.86,Haribo Sour Bears,2019-05-20,Mon,14:54:00,Good,Retail,Type_A,discount_type_3,,,
467,23049,A000006833,1.63,0.53,0.86,Haribo Sour Bears,2019-05-20,Mon,14:54:00,Good,Retail,Type_A,discount_type_1,,,
503,23049,9000000884,1.63,1.37,2.23,Sour Patch Kids,2019-05-20,Mon,14:54:00,Good,Retail,Type_A,discount_type_3,,,
507,23049,9000000884,1.63,1.37,2.23,Sour Patch Kids,2019-05-20,Mon,14:54:00,Good,Retail,Type_A,discount_type_1,,,
511,23048,A000006689,0.28,3.7,1.04,Skittles wildberry,2019-05-20,Mon,14:50:00,Good,Retail,Type_A,discount_type_1,,,
517,23048,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-20,Mon,14:50:00,Good,Retail,Type_A,discount_type_1,,,
520,23047,A000006843,1.63,1.06,1.73,M&Ms,2019-05-20,Mon,14:45:00,Good,Retail,Type_A,discount_type_1,,,
523,23047,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,14:45:00,Good,Retail,Type_A,discount_type_1,,,
526,23047,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-20,Mon,14:45:00,Good,Retail,Type_A,discount_type_1,,,
529,23046,A000006823,0.28,3.69,1.03,Nestle Butterfinger,2019-05-20,Mon,14:38:00,Good,Retail,Type_A,discount_type_1,,,
531,23046,A000006821,0.28,3.7,1.04,Reeses stuffed with pieces,2019-05-20,Mon,14:38:00,Good,Retail,Type_A,discount_type_1,,,
533,23045,9000001037,0.81,4.12,3.34,Lifesavers big ring gummies,2019-05-20,Mon,14:36:00,Good,Retail,Type_A,discount_type_1,,,
535,23045,A000006516,0.81,4.12,3.34,Hersheys Special Dark,2019-05-20,Mon,14:36:00,Good,Retail,Type_A,discount_type_1,,,
537,23044,A000006689,0.28,3.7,1.04,Skittles wildberry,2019-05-20,Mon,14:26:00,Good,Retail,Type_A,discount_type_1,,,
538,23042,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-20,Mon,14:17:00,Good,Retail,Type_A,discount_type_1,,,
539,23041,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,14:06:00,Good,Retail,Type_A,discount_type_1,,,
541,23041,A000006697,0.47,2.93,1.38,Reeses Miniatures,2019-05-20,Mon,14:06:00,Good,Retail,Type_A,discount_type_1,,,
543,23039,A000006689,0.28,3.7,1.04,Skittles wildberry,2019-05-20,Mon,14:04:00,Good,Retail,Type_A,discount_type_1,,,
545,23039,A000006823,0.28,3.7,1.04,Nestle Butterfinger,2019-05-20,Mon,14:04:00,Good,Retail,Type_A,discount_type_1,,,
547,23037,A000006799,0.48,4.42,2.12,Skittles wildberry,2019-05-20,Mon,13:54:00,Good,Retail,Type_A,discount_type_1,,,
550,23037,A000006516,0.48,4.42,2.12,Hersheys Special Dark,2019-05-20,Mon,13:54:00,Good,Retail,Type_A,discount_type_1,,,
553,23037,A000006697,0.49,3.35,1.64,Reeses Miniatures,2019-05-20,Mon,13:54:00,Good,Retail,Type_A,discount_type_1,,,
556,23035,A000006843,1.63,1.06,1.73,M&Ms,2019-05-20,Mon,13:47:00,Good,Retail,Type_A,discount_type_1,,,
557,23034,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,13:44:00,Good,Retail,Type_A,discount_type_4,,,
558,23033,A000006674,0.96,2.76,2.65,Haribo Sour Bears,2019-05-20,Mon,13:40:00,Good,Retail,Type_A,discount_type_11,,,
559,23031,A000006700,0.94,2.76,2.59,Hersheys Kisses,2019-05-20,Mon,13:34:00,Good,Retail,Type_A,discount_type_4,,,
560,23028,A000006702,0.47,5.12,2.41,Hersheys Milk Chocolate,2019-05-20,Mon,13:29:00,Good,Retail,Type_A,discount_type_1,,,
563,23028,9000001037,0.94,4.12,3.87,Lifesavers big ring gummies,2019-05-20,Mon,13:29:00,Good,Retail,Type_A,discount_type_1,,,
566,23028,A000006704,1.63,2.1,3.42,Snickers,2019-05-20,Mon,13:29:00,Good,Retail,Type_A,discount_type_1,,,
569,23027,A000006727,0.51,4.03,2.06,Air Heads,2019-05-20,Mon,13:26:00,Good,Retail,Type_A,discount_type_1,,,
570,23026,A000006799,0.48,4.26,2.04,Skittles wildberry,2019-05-20,Mon,13:17:00,Good,Retail,Type_A,discount_type_1,,,
573,23026,A000006815,0.94,2.07,1.95,Reeses pieces,2019-05-20,Mon,13:17:00,Good,Retail,Type_A,discount_type_1,,,
576,23026,A000006704,0.72,2.07,1.49,Snickers,2019-05-20,Mon,13:17:00,Good,Retail,Type_A,discount_type_1,,,
579,23024,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-20,Mon,12:58:00,Good,Retail,Type_A,discount_type_1,,,
581,23024,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,12:58:00,Good,Retail,Type_A,discount_type_1,,,
583,23023,A000006821,0.28,3.33,0.93,Reeses stuffed with pieces,2019-05-20,Mon,12:55:00,Good,Retail,Type_A,discount_type_2,,,
584,23022,A000006878,0.51,4.7,2.4,Nestle Crunch,2019-05-20,Mon,12:44:00,Good,Retail,Type_A,discount_type_1,,,
587,23022,A000006704,1.66,2.07,3.44,Snickers,2019-05-20,Mon,12:44:00,Good,Retail,Type_A,discount_type_1,,,
590,23022,A000006889,0.51,4.03,2.06,100 Grand,2019-05-20,Mon,12:44:00,Good,Retail,Type_A,discount_type_1,,,
593,23021,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,12:38:00,Good,Retail,Type_A,discount_type_1,,,
595,23021,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-20,Mon,12:38:00,Good,Retail,Type_A,discount_type_1,,,
597,23020,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,12:35:00,Good,Retail,Type_A,discount_type_1,,,
598,23018,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,12:08:00,Good,Retail,Type_A,discount_type_1,,,
602,23017,A000006801,1.63,1.27,2.07,Snickers Crisper,2019-05-20,Mon,11:54:00,Good,Retail,Type_A,discount_type_1,,,
603,23016,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,11:48:00,Good,Retail,Type_A,discount_type_4,,,
604,23015,A000006704,6.52,1.65,10.76,Snickers,2019-05-20,Mon,11:38:00,Good,Retail,Type_A,discount_type_1,,,
606,23015,A000006608,6.53,1.65,10.77,Snickers Crisper,2019-05-20,Mon,11:38:00,Good,Retail,Type_A,discount_type_1,,,
608,23014,A000006704,1.67,1.85,3.09,Snickers,2019-05-20,Mon,11:31:00,Good,Retail,Type_A,discount_type_2,,,
609,23013,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,11:28:00,Good,Retail,Type_A,discount_type_1,,,
625,23012,A000006832,0.47,2.95,1.39,Reeses pieces,2019-05-20,Mon,11:20:00,Good,Retail,Type_A,discount_type_1,,,
626,23011,A000006689,0.28,3.7,1.04,Skittles wildberry,2019-05-20,Mon,11:19:00,Good,Retail,Type_A,discount_type_1,,,
629,23011,A000006816,0.28,3.7,1.04,Reeses Miniatures,2019-05-20,Mon,11:19:00,Good,Retail,Type_A,discount_type_1,,,
632,23011,A000006823,0.28,3.7,1.04,Nestle Butterfinger,2019-05-20,Mon,11:19:00,Good,Retail,Type_A,discount_type_1,,,
635,23009,A000006815,6.53,1.54,10.06,Reeses pieces,2019-05-20,Mon,11:15:00,Good,Retail,Type_A,discount_type_2,,,
636,23007,A000006704,1.66,1.87,3.1,Snickers,2019-05-20,Mon,11:03:00,Good,Retail,Type_A,discount_type_2,,,
639,23007,A000006878,0.5,4.31,2.15,Nestle Crunch,2019-05-20,Mon,11:03:00,Good,Retail,Type_A,discount_type_2,,,
645,23004,A000006832,4.88,1.06,5.17,Reeses pieces,2019-05-20,Mon,10:47:00,Good,Retail,Type_A,discount_type_1,,,
646,23003,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,10:42:00,Good,Retail,Type_A,discount_type_1,,,
648,23003,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-20,Mon,10:42:00,Good,Retail,Type_A,discount_type_1,,,
650,23002,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,10:41:00,Good,Retail,Type_A,discount_type_1,,,
654,23001,A000006832,1.63,0.53,0.86,Reeses pieces,2019-05-20,Mon,10:38:00,Good,Retail,Type_A,discount_type_12,,,
656,23001,A000006833,1.63,0.53,0.86,Haribo Sour Bears,2019-05-20,Mon,10:38:00,Good,Retail,Type_A,discount_type_12,,,
658,22999,A000006816,0.28,3.7,1.04,Reeses Miniatures,2019-05-20,Mon,10:12:00,Good,Retail,Type_A,discount_type_1,,,
659,22998,A000006609,0.5,2.77,1.38,Nestle Butterfinger,2019-05-20,Mon,09:53:00,Good,Retail,Type_A,discount_type_1,,,
662,22998,A000006838,1.63,2.11,3.44,Starburst,2019-05-20,Mon,09:53:00,Good,Retail,Type_A,discount_type_1,,,
665,22998,A000006655,0.28,3.33,0.93,Peanut butter M&Ms,2019-05-20,Mon,09:53:00,Good,Retail,Type_A,discount_type_1,,,
668,22997,A000006815,0.49,1.9,0.93,Reeses pieces,2019-05-20,Mon,09:48:00,Good,Retail,Type_A,discount_type_13,,,
673,22997,A000006608,0.5,1.9,0.95,Snickers Crisper,2019-05-20,Mon,09:48:00,Good,Retail,Type_A,discount_type_13,,,
678,22997,A000006516,0.51,3.63,1.85,Hersheys Special Dark,2019-05-20,Mon,09:48:00,Good,Retail,Type_A,discount_type_13,,,
683,22997,A000006673,0.49,4.43,2.17,Baby Ruth,2019-05-20,Mon,09:48:00,Good,Retail,Type_A,discount_type_13,,,
688,22997,A000006689,0.28,3.33,0.93,Skittles wildberry,2019-05-20,Mon,09:48:00,Good,Retail,Type_A,discount_type_13,,,
693,22994,A000006704,1.63,1.79,2.92,Snickers,2019-05-20,Mon,09:38:00,Good,Retail,Type_A,discount_type_8,,,
694,22993,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,09:35:00,Good,Retail,Type_A,discount_type_4,,,
