Date,Country/Region,Holiday
2020-03-08,Uganda,Uganda Holiday #4
2020-04-10,Uganda,Uganda Holiday #5
2020-04-13,Uganda,Uganda Holiday #6
2020-05-01,Uganda,Uganda Holiday #7
2020-05-24,Uganda,Uganda Holiday #8
2020-06-03,Uganda,Uganda Holiday #9
2020-06-09,Uganda,Uganda Holiday #10
2020-07-31,Uganda,Uganda Holiday #11
2020-10-09,Uganda,Uganda Holiday #12
2020-12-25,Uganda,Uganda Holiday #13
2020-12-26,Uganda,Uganda Holiday #14
2020-01-01,Zambia,Zambia Holiday #1
2020-03-09,Zambia,Zambia Holiday #2
2020-03-12,Zambia,Zambia Holiday #3
2020-04-10,Zambia,Zambia Holiday #4
2020-04-11,Zambia,Zambia Holiday #5
2020-04-13,Zambia,Zambia Holiday #6
2020-05-01,Zambia,Zambia Holiday #7
2020-05-25,Zambia,Zambia Holiday #8
2020-07-06,Zambia,Zambia Holiday #9
2020-07-07,Zambia,Zambia Holiday #10
2020-08-03,Zambia,Zambia Holiday #11
2020-10-19,Zambia,Zambia Holiday #12
2020-10-24,Zambia,Zambia Holiday #13
2020-12-25,Zambia,Zambia Holiday #14
2020-01-01,Zimbabwe,Zimbabwe Holiday #1
2020-02-21,Zimbabwe,Zimbabwe Holiday #2
2020-04-10,Zimbabwe,Zimbabwe Holiday #3
2020-04-13,Zimbabwe,Zimbabwe Holiday #4
2020-04-18,Zimbabwe,Zimbabwe Holiday #5
2020-05-01,Zimbabwe,Zimbabwe Holiday #6
2020-05-25,Zimbabwe,Zimbabwe Holiday #7
2020-08-10,Zimbabwe,Zimbabwe Holiday #8
2020-08-11,Zimbabwe,Zimbabwe Holiday #9
2020-12-22,Zimbabwe,Zimbabwe Holiday #10
2020-12-25,Zimbabwe,Zimbabwe Holiday #11
2020-12-26,Zimbabwe,Zimbabwe Holiday #12
2020-01-07,Ethiopia,Ethiopia Holiday #1
2020-01-19,Ethiopia,Ethiopia Holiday #2
2020-03-02,Ethiopia,Ethiopia Holiday #3
2020-04-17,Ethiopia,Ethiopia Holiday #4
2020-04-19,Ethiopia,Ethiopia Holiday #5
2020-05-01,Ethiopia,Ethiopia Holiday #6
2020-05-05,Ethiopia,Ethiopia Holiday #7
2020-05-24,Ethiopia,Ethiopia Holiday #8
2020-05-28,Ethiopia,Ethiopia Holiday #9
2020-07-31,Ethiopia,Ethiopia Holiday #10
2020-09-12,Ethiopia,Ethiopia Holiday #11
2020-09-28,Ethiopia,Ethiopia Holiday #12
2020-10-29,Ethiopia,Ethiopia Holiday #13
2020-02-17,Libya,Libya Holiday #1
2020-05-01,Libya,Libya Holiday #2
2020-05-24,Libya,Libya Holiday #3
2020-05-25,Libya,Libya Holiday #4
2020-07-30,Libya,Libya Holiday #5
2020-07-31,Libya,Libya Holiday #6
2020-08-01,Libya,Libya Holiday #7
2020-08-02,Libya,Libya Holiday #8
2020-08-20,Libya,Libya Holiday #9
2020-09-16,Libya,Libya Holiday #10
2020-10-23,Libya,Libya Holiday #11
2020-10-29,Libya,Libya Holiday #12
2020-12-24,Libya,Libya Holiday #13
